Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,18.838171847735037,19.600148555830177,18.838171847735037,19.562427520751953,204400,0.0,0.0
2022-01-04 00:00:00-05:00,19.766121622586514,20.55827475308258,19.622779120480498,20.414932250976562,434300,0.0,0.0
2022-01-05 00:00:00-05:00,20.716708174638438,20.746886154293467,19.909465925414917,19.95473289489746,594000,0.0,0.0
2022-01-06 00:00:00-05:00,20.18105939202717,20.611085474071466,19.99999585426984,20.482831954956055,255200,0.0,0.0
2022-01-07 00:00:00-05:00,20.48283094347021,20.950579472135374,20.23386841147754,20.754426956176758,213400,0.0,0.0
2022-01-10 00:00:00-05:00,20.844959305980236,21.312707863926093,20.6563512717862,20.860048294067383,485700,0.0,0.0
2022-01-11 00:00:00-05:00,20.89022627024168,20.988301814877932,20.460200182513695,20.860048294067383,223000,0.0,0.0
2022-01-12 00:00:00-05:00,20.81478126821589,20.875135777248367,20.45265421402101,20.550729751586914,217500,0.0,0.0
2022-01-13 00:00:00-05:00,20.784605026245117,21.056201059006487,20.6261749664444,20.784605026245117,219300,0.0,0.0
2022-01-14 00:00:00-05:00,20.535644282285336,21.1241019253769,20.520556731666513,21.06374740600586,256200,0.0,0.0
2022-01-18 00:00:00-05:00,21.0939221381224,21.26744262553525,20.761973029517662,20.799694061279297,351400,0.0,0.0
2022-01-19 00:00:00-05:00,20.829871579209968,20.867592610141028,20.218780517578125,20.218780517578125,337200,0.0,0.0
2022-01-20 00:00:00-05:00,20.16596870857085,20.52809575363762,19.78875267688506,19.826475143432617,318100,0.0,0.0
2022-01-21 00:00:00-05:00,19.957469648656794,20.026820047888545,19.36413910844027,19.41037368774414,315800,0.55,0.0
2022-01-24 00:00:00-05:00,19.148386711451916,19.287087532328176,18.43947254786993,19.22544288635254,316400,0.0,0.0
2022-01-25 00:00:00-05:00,19.009685382932794,19.472020950265822,18.632111752699362,19.23314666748047,324100,0.0,0.0
2022-01-26 00:00:00-05:00,19.495132989942118,19.872708016624802,18.994270168250917,19.1175594329834,283200,0.0,0.0
2022-01-27 00:00:00-05:00,19.202323842694312,19.495135516958058,18.74769406891637,18.84786605834961,238800,0.0,0.0
2022-01-28 00:00:00-05:00,18.82474982618211,19.464313507080078,18.52423239471322,19.464313507080078,364500,0.0,0.0
2022-01-31 00:00:00-05:00,19.233145840442226,19.641542510141182,18.770811762714132,19.63383674621582,297600,0.0,0.0
2022-02-01 00:00:00-05:00,19.603015823948507,20.00370527356427,19.364141543347213,19.610721588134766,201800,0.0,0.0
2022-02-02 00:00:00-05:00,19.54907549242301,19.757125231102794,19.356435811246975,19.564485549926758,274700,0.0,0.0
2022-02-03 00:00:00-05:00,19.50284207761745,19.579898248643055,19.20232462731424,19.279380798339844,202300,0.0,0.0
2022-02-04 00:00:00-05:00,19.24855712498903,19.410375225927815,18.747694233965095,19.086740493774414,247600,0.0,0.0
