Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-01-03 00:00:00-05:00,52.41999816894531,52.709999084472656,52.07167053222656,52.336669921875,62142,0.0,0.0,0.0
2022-01-04 00:00:00-05:00,52.66667175292969,52.9871711730957,52.66667175292969,52.793331146240234,70506,0.0,0.0,0.0
2022-01-05 00:00:00-05:00,52.900001525878906,52.97032928466797,51.526668548583984,51.563331604003906,109908,0.0,0.0,0.0
2022-01-06 00:00:00-05:00,51.63999938964844,51.937129974365234,51.03667068481445,51.646671295166016,219852,0.0,0.0,0.0
2022-01-07 00:00:00-05:00,51.74332809448242,51.75796890258789,50.97999954223633,51.02333068847656,48183,0.0,0.0,0.0
2022-01-10 00:00:00-05:00,50.630001068115234,50.630001068115234,49.279998779296875,50.19667053222656,101331,0.0,0.0,0.0
2022-01-11 00:00:00-05:00,50.296669006347656,50.793670654296875,49.847869873046875,50.7599983215332,123426,0.0,0.0,0.0
2022-01-12 00:00:00-05:00,51.15666961669922,51.216670989990234,50.3466682434082,50.693328857421875,223032,0.0,0.0,0.0
2022-01-13 00:00:00-05:00,50.880001068115234,51.40999984741211,50.54999923706055,50.616668701171875,68637,0.0,0.0,0.0
2022-01-14 00:00:00-05:00,50.526668548583984,50.526668548583984,49.473331451416016,50.189998626708984,57003,0.0,0.0,0.0
2022-01-18 00:00:00-05:00,49.540000915527344,49.540000915527344,49.046871185302734,49.08332824707031,211371,0.0,0.0,0.0
2022-01-19 00:00:00-05:00,49.456668853759766,49.456668853759766,48.443328857421875,48.45000076293945,73467,0.0,0.0,0.0
2022-01-20 00:00:00-05:00,48.83332824707031,49.15666961669922,47.408329010009766,47.43333053588867,166233,0.0,0.0,0.0
2022-01-21 00:00:00-05:00,47.15999984741211,47.8931999206543,46.7400016784668,46.78667068481445,179178,0.0,0.0,0.0
2022-01-24 00:00:00-05:00,45.82332992553711,47.77000045776367,45.22999954223633,47.720001220703125,338091,0.0,0.0,0.0
2022-01-25 00:00:00-05:00,46.836669921875,47.716670989990234,46.209999084472656,47.1733283996582,103644,0.0,0.0,0.0
2022-01-26 00:00:00-05:00,47.68000030517578,48.216670989990234,46.21332931518555,46.630001068115234,90678,0.0,0.0,0.0
2022-01-27 00:00:00-05:00,47.13666915893555,47.44667053222656,45.87773132324219,45.966670989990234,64827,0.0,0.0,0.0
2022-01-28 00:00:00-05:00,45.61333084106445,46.65666961669922,45.336669921875,46.63666915893555,62583,0.0,0.0,0.0
2022-01-31 00:00:00-05:00,46.41667175292969,47.939998626708984,46.41667175292969,47.876670837402344,343065,0.0,0.0,0.0
2022-02-01 00:00:00-05:00,47.956668853759766,48.56999969482422,47.68000030517578,48.513328552246094,108321,0.0,0.0,0.0
2022-02-02 00:00:00-05:00,48.66667175292969,48.66667175292969,47.9900016784668,48.38666915893555,68208,0.0,0.0,0.0
2022-02-03 00:00:00-05:00,47.83332824707031,48.313331604003906,47.39332962036133,47.473331451416016,395544,0.0,0.0,0.0
2022-02-04 00:00:00-05:00,46.98332977294922,47.471168518066406,46.53567123413086,47.150001525878906,109503,0.0,0.0,0.0
2022-02-07 00:00:00-05:00,47.290000915527344,47.82167053222656,47.179168701171875,47.47666931152344,48981,0.0,0.0,0.0
2022-02-08 00:00:00-05:00,47.50333023071289,48.413330078125,47.41999816894531,48.369998931884766,207336,0.0,0.0,0.0
2022-02-09 00:00:00-05:00,49.033329010009766,49.57109832763672,49.033329010009766,49.470001220703125,2507754,0.0,0.0,0.0
2022-02-10 00:00:00-05:00,48.71332931518555,49.67667007446289,48.4033317565918,48.616668701171875,43749,0.0,0.0,0.0
